Rk,League,Team,Pts,P,W,D,L,GF,GA,GD,Year_End
1,Brasileirao,São Paulo,78,38,22,12,4,66,32,34,2006
2,Brasileirao,Internacional,69,38,20,9,9,52,36,16,2006
3,Brasileirao,Grêmio,67,38,20,7,11,64,45,19,2006
4,Brasileirao,Santos,64,38,18,10,10,58,36,22,2006
5,Brasileirao,Paraná,60,38,18,6,14,56,49,7,2006
6,Brasileirao,Vasco,59,38,15,14,9,57,50,7,2006
7,Brasileirao,Figueirense,57,38,15,12,11,52,44,8,2006
8,Brasileirao,Goiás,55,38,15,10,13,63,49,14,2006
9,Brasileirao,Corinthians,53,38,15,8,15,41,46,-5,2006
10,Brasileirao,Cruzeiro,53,38,14,11,13,52,45,7,2006
11,Brasileirao,Flamengo,52,38,15,7,16,44,48,-4,2006
12,Brasileirao,Botafogo,51,38,13,12,13,52,50,2,2006
13,Brasileirao,Atlético Paranaense,48,38,13,9,16,61,62,-1,2006
14,Brasileirao,Juventude,47,38,13,8,17,44,54,-10,2006
15,Brasileirao,Fluminense,45,38,11,12,15,48,58,-10,2006
16,Brasileirao,Palmeiras,44,38,12,8,18,58,70,-12,2006
17,Brasileirao,Ponte Preta,39,38,10,9,19,45,65,-20,2006
18,Brasileirao,Fortaleza,38,38,8,14,16,39,62,-23,2006
19,Brasileirao,São Caetano,36,38,9,9,20,37,53,-16,2006
20,Brasileirao,Santa Cruz,28,38,7,7,24,41,76,-35,2006
1,Brasileirao,São Paulo,77,38,23,8,7,55,19,36,2007
2,Brasileirao,Santos,62,38,19,5,14,57,47,10,2007
3,Brasileirao,Flamengo,61,38,17,10,11,55,49,6,2007
4,Brasileirao,Fluminense,61,38,16,13,9,57,39,18,2007
5,Brasileirao,Cruzeiro,60,38,18,6,14,73,58,15,2007
6,Brasileirao,Grêmio,58,38,17,7,14,44,43,1,2007
7,Brasileirao,Palmeiras,58,38,16,10,12,48,47,1,2007
8,Brasileirao,Atlético Mineiro,55,38,15,10,13,63,51,12,2007
9,Brasileirao,Botafogo,55,38,14,13,11,62,58,4,2007
10,Brasileirao,Vasco,54,38,15,9,14,58,47,11,2007
11,Brasileirao,Internacional,54,38,15,9,14,49,44,5,2007
12,Brasileirao,Atlético Paranaense,54,38,14,12,12,51,50,1,2007
13,Brasileirao,Figueirense,53,38,14,11,13,57,56,1,2007
14,Brasileirao,Sport,51,38,14,9,15,54,55,-1,2007
15,Brasileirao,Náutico,49,38,14,7,17,66,63,3,2007
16,Brasileirao,Goiás,45,38,13,6,19,49,62,-13,2007
17,Brasileirao,Corinthians,44,38,10,14,14,40,50,-10,2007
18,Brasileirao,Juventude,41,38,11,8,19,43,65,-22,2007
19,Brasileirao,Paraná,41,38,11,8,19,42,64,-22,2007
20,Brasileirao,América-RN,17,38,4,5,29,24,80,-56,2007
1,Brasileirao,São Paulo,75,38,21,12,5,66,36,30,2008
2,Brasileirao,Grêmio,72,38,21,9,8,59,35,24,2008
3,Brasileirao,Cruzeiro,67,38,21,4,13,59,44,15,2008
4,Brasileirao,Palmeiras,65,38,19,8,11,55,45,10,2008
5,Brasileirao,Flamengo,64,38,18,10,10,67,48,19,2008
6,Brasileirao,Internacional,54,38,15,9,14,48,47,1,2008
7,Brasileirao,Botafogo,53,38,15,8,15,51,44,7,2008
8,Brasileirao,Goiás,53,38,14,11,13,57,47,10,2008
9,Brasileirao,Coritiba,53,38,14,11,13,55,48,7,2008
10,Brasileirao,Vitória,52,38,15,7,16,48,44,4,2008
11,Brasileirao,Sport,52,38,14,10,14,48,45,3,2008
12,Brasileirao,Atlético Mineiro,48,38,12,12,14,50,61,-11,2008
13,Brasileirao,Atlético Paranaense,45,38,12,9,17,45,54,-9,2008
14,Brasileirao,Fluminense,45,38,11,12,15,49,48,1,2008
15,Brasileirao,Santos,45,38,11,12,15,44,53,-9,2008
16,Brasileirao,Náutico,44,38,11,11,16,44,54,-10,2008
17,Brasileirao,Figueirense,44,38,11,11,16,49,73,-24,2008
18,Brasileirao,Vasco,40,38,11,7,20,56,72,-16,2008
19,Brasileirao,Portuguesa,38,38,9,11,18,48,70,-22,2008
20,Brasileirao,Ipatinga,35,38,9,8,21,37,67,-30,2008
1,Brasileirao,Flamengo,67,38,19,10,9,58,44,14,2009
2,Brasileirao,Internacional,65,38,19,8,11,65,44,21,2009
3,Brasileirao,São Paulo,65,38,18,11,9,57,42,15,2009
4,Brasileirao,Cruzeiro,62,38,18,8,12,58,53,5,2009
5,Brasileirao,Palmeiras,62,38,17,11,10,58,45,13,2009
6,Brasileirao,Avaí,57,38,15,12,11,61,52,9,2009
7,Brasileirao,Atlético Mineiro,56,38,16,8,14,55,56,-1,2009
8,Brasileirao,Grêmio,55,38,15,10,13,67,46,21,2009
9,Brasileirao,Goiás,55,38,15,10,13,64,65,-1,2009
10,Brasileirao,Corinthians,52,38,14,10,14,50,54,-4,2009
11,Brasileirao,Grêmio Barueri,49,38,12,13,13,59,52,7,2009
12,Brasileirao,Santos,49,38,12,13,13,58,58,0,2009
13,Brasileirao,Vitória,48,38,13,9,16,51,57,-6,2009
14,Brasileirao,Atlético Paranaense,48,38,13,9,16,42,49,-7,2009
15,Brasileirao,Botafogo,47,38,11,14,13,52,58,-6,2009
16,Brasileirao,Fluminense,46,38,11,13,14,49,56,-7,2009
17,Brasileirao,Coritiba,45,38,12,9,17,48,60,-12,2009
18,Brasileirao,Santo André,41,38,11,8,19,46,61,-15,2009
19,Brasileirao,Náutico,38,38,10,8,20,48,71,-23,2009
20,Brasileirao,Sport,31,38,7,10,21,48,71,-23,2009
1,Brasileirao,Fluminense,71,38,20,11,7,62,36,26,2010
2,Brasileirao,Cruzeiro,69,38,20,9,9,53,38,15,2010
