Rk,League,Team,Pts,P,W,D,L,GF,GA,GD,Year_End
1,Premier League,Manchester Utd,83,38,25,8,5,74,34,40,2003
2,Premier League,Arsenal,78,38,23,9,6,85,42,43,2003
3,Premier League,Newcastle Utd,69,38,21,6,11,63,48,15,2003
4,Premier League,Chelsea,67,38,19,10,9,68,38,30,2003
5,Premier League,Liverpool,64,38,18,10,10,61,41,20,2003
6,Premier League,Blackburn,60,38,16,12,10,52,43,9,2003
7,Premier League,Everton,59,38,17,8,13,48,49,-1,2003
8,Premier League,Southampton,52,38,13,13,12,43,46,-3,2003
9,Premier League,Manchester City,51,38,15,6,17,47,54,-7,2003
10,Premier League,Tottenham,50,38,14,8,16,51,62,-11,2003
11,Premier League,Middlesbrough,49,38,13,10,15,48,44,4,2003
12,Premier League,Charlton Ath,49,38,14,7,17,45,56,-11,2003
13,Premier League,Birmingham City,48,38,13,9,16,41,49,-8,2003
14,Premier League,Fulham,48,38,13,9,16,41,50,-9,2003
15,Premier League,Leeds United,47,38,14,5,19,58,57,1,2003
16,Premier League,Aston Villa,45,38,12,9,17,42,47,-5,2003
17,Premier League,Bolton,44,38,10,14,14,41,51,-10,2003
18,Premier League,West Ham,42,38,10,12,16,42,59,-17,2003
19,Premier League,West Brom,26,38,6,8,24,29,65,-36,2003
20,Premier League,Sunderland,19,38,4,7,27,21,65,-44,2003
1,Premier League,Arsenal,90,38,26,12,0,73,26,47,2004
2,Premier League,Chelsea,79,38,24,7,7,67,30,37,2004
3,Premier League,Manchester Utd,75,38,23,6,9,64,35,29,2004
4,Premier League,Liverpool,60,38,16,12,10,55,37,18,2004
5,Premier League,Newcastle Utd,56,38,13,17,8,52,40,12,2004
6,Premier League,Aston Villa,56,38,15,11,12,48,44,4,2004
7,Premier League,Charlton Ath,53,38,14,11,13,51,51,0,2004
8,Premier League,Bolton,53,38,14,11,13,48,56,-8,2004
9,Premier League,Fulham,52,38,14,10,14,52,46,6,2004
10,Premier League,Birmingham City,50,38,12,14,12,43,48,-5,2004
11,Premier League,Middlesbrough,48,38,13,9,16,44,52,-8,2004
12,Premier League,Southampton,47,38,12,11,15,44,45,-1,2004
13,Premier League,Portsmouth,45,38,12,9,17,47,54,-7,2004
14,Premier League,Tottenham,45,38,13,6,19,47,57,-10,2004
15,Premier League,Blackburn,44,38,12,8,18,51,59,-8,2004
