Rk,League,Team,Pts,P,W,D,L,GF,GA,GD,Year_End
1,Ligue 1,Lyon,68,38,19,11,8,63,41,22,2003
2,Ligue 1,Monaco,67,38,19,10,9,66,33,33,2003
3,Ligue 1,Marseille,65,38,19,8,11,41,36,5,2003
4,Ligue 1,Bordeaux,64,38,18,10,10,57,36,21,2003
5,Ligue 1,Sochaux,64,38,17,13,8,46,31,15,2003
6,Ligue 1,Auxerre,64,38,18,10,10,38,29,9,2003
7,Ligue 1,Guingamp,62,38,19,5,14,59,46,13,2003
8,Ligue 1,Lens,57,38,14,15,9,43,31,12,2003
9,Ligue 1,Nantes,56,38,16,8,14,37,39,-2,2003
10,Ligue 1,Nice,55,38,13,16,9,39,31,8,2003
11,Ligue 1,Paris SG,54,38,14,12,12,47,36,11,2003
12,Ligue 1,Bastia,47,38,12,11,15,40,48,-8,2003
13,Ligue 1,RC Strasbourg,45,38,11,12,15,40,54,-14,2003
14,Ligue 1,Lille,42,38,10,12,16,29,44,-15,2003
15,Ligue 1,Rennes,40,38,10,10,18,35,45,-10,2003
16,Ligue 1,Montpellier,40,38,10,10,18,37,54,-17,2003
17,Ligue 1,AC Ajaccio,39,38,9,12,17,29,49,-20,2003
18,Ligue 1,Le Havre,38,38,10,8,20,27,47,-20,2003
19,Ligue 1,CS Sedan,36,38,9,9,20,41,59,-18,2003
20,Ligue 1,Troyes,31,38,7,10,21,23,48,-25,2003
1,Ligue 1,Lyon,79,38,24,7,7,64,26,38,2004
2,Ligue 1,Paris SG,76,38,22,10,6,50,28,22,2004
3,Ligue 1,Monaco,75,38,21,12,5,59,30,29,2004
4,Ligue 1,Auxerre,65,38,19,8,11,60,34,26,2004
5,Ligue 1,Sochaux,63,38,18,9,11,54,42,12,2004
6,Ligue 1,Nantes,60,38,17,9,12,47,35,12,2004
7,Ligue 1,Marseille,57,38,17,6,15,51,45,6,2004
8,Ligue 1,Lens,53,38,15,8,15,34,48,-14,2004
9,Ligue 1,Rennes,52,38,14,10,14,56,44,12,2004
10,Ligue 1,Lille,51,38,14,9,15,41,41,0,2004
11,Ligue 1,Nice,50,38,11,17,10,42,39,3,2004
12,Ligue 1,Bordeaux,50,38,13,11,14,40,43,-3,2004
13,Ligue 1,RC Strasbourg,43,38,10,13,15,43,50,-7,2004
14,Ligue 1,Metz,42,38,11,9,18,34,42,-8,2004
15,Ligue 1,AC Ajaccio,40,38,10,10,18,33,55,-22,2004
16,Ligue 1,Bastia,39,38,9,12,17,33,49,-16,2004
17,Ligue 1,Toulouse,39,38,9,12,17,31,44,-13,2004
18,Ligue 1,Le Mans,38,38,9,11,18,35,57,-22,2004
19,Ligue 1,Guingamp,38,38,10,8,20,36,58,-22,2004
20,Ligue 1,Montpellier,31,38,8,7,23,41,74,-33,2004
1,Ligue 1,Lyon,79,38,22,13,3,56,22,34,2005
2,Ligue 1,Lille,67,38,18,13,7,52,29,23,2005
3,Ligue 1,Monaco,63,38,15,18,5,52,35,17,2005
4,Ligue 1,Rennes,55,38,15,10,13,49,42,7,2005
5,Ligue 1,Marseille,55,38,15,10,13,47,42,5,2005
6,Ligue 1,Saint-Étienne,53,38,12,17,9,47,34,13,2005
7,Ligue 1,Lens,52,38,13,13,12,45,39,6,2005
8,Ligue 1,Auxerre,52,38,14,10,14,48,47,1,2005
9,Ligue 1,Paris SG,51,38,12,15,11,40,41,-1,2005
10,Ligue 1,Sochaux,50,38,13,11,14,42,41,1,2005
11,Ligue 1,RC Strasbourg,48,38,12,12,14,42,43,-1,2005
12,Ligue 1,Nice,46,38,10,16,12,38,45,-7,2005
13,Ligue 1,Toulouse,46,38,12,10,16,36,43,-7,2005
14,Ligue 1,AC Ajaccio,45,38,10,15,13,36,40,-4,2005
15,Ligue 1,Bordeaux,44,38,8,20,10,37,41,-4,2005
16,Ligue 1,Metz,44,38,10,14,14,33,45,-12,2005
17,Ligue 1,Nantes,43,38,10,13,15,33,38,-5,2005
18,Ligue 1,Caen,42,38,10,12,16,36,60,-24,2005
19,Ligue 1,Bastia,41,38,11,8,19,32,48,-16,2005
20,Ligue 1,Istres FC,32,38,6,14,18,25,51,-26,2005
1,Ligue 1,Lyon,84,38,25,9,4,73,31,42,2006
2,Ligue 1,Bordeaux,69,38,18,15,5,43,25,18,2006
3,Ligue 1,Lille,62,38,16,14,8,56,31,25,2006
4,Ligue 1,Lens,60,38,14,18,6,48,34,14,2006
5,Ligue 1,Marseille,60,38,16,12,10,44,35,9,2006
6,Ligue 1,Auxerre,59,38,17,8,13,50,39,11,2006
7,Ligue 1,Rennes,59,38,18,5,15,48,49,-1,2006
8,Ligue 1,Nice,58,38,16,10,12,36,31,5,2006
9,Ligue 1,Paris SG,52,38,13,13,12,44,38,6,2006
10,Ligue 1,Monaco,52,38,13,13,12,42,36,6,2006
11,Ligue 1,Le Mans,52,38,13,13,12,33,36,-3,2006
12,Ligue 1,Nancy,48,38,12,12,14,35,37,-2,2006
13,Ligue 1,Saint-Étienne,47,38,11,14,13,29,39,-10,2006
14,Ligue 1,Nantes,45,38,11,12,15,37,41,-4,2006
15,Ligue 1,Sochaux,44,38,11,11,16,34,47,-13,2006
16,Ligue 1,Toulouse,41,38,10,11,17,36,47,-11,2006
17,Ligue 1,Troyes,39,38,9,12,17,37,47,-10,2006
18,Ligue 1,AC Ajaccio,33,38,8,9,21,27,53,-26,2006
19,Ligue 1,RC Strasbourg,29,38,5,14,19,33,56,-23,2006
20,Ligue 1,Metz,29,38,6,11,21,26,59,-33,2006
1,Ligue 1,Lyon,81,38,24,9,5,64,27,37,2007
2,Ligue 1,Marseille,64,38,19,7,12,53,38,15,2007
3,Ligue 1,Toulouse,61,38,17,7,14,44,43,1,2007
4,Ligue 1,Rennes,57,38,14,15,9,38,30,8,2007
5,Ligue 1,Lens,57,38,15,12,11,47,41,6,2007
6,Ligue 1,Bordeaux,57,38,16,9,13,39,35,4,2007
7,Ligue 1,Sochaux,57,38,15,12,11,46,48,-2,2007
8,Ligue 1,Auxerre,54,38,13,15,10,41,41,0,2007
9,Ligue 1,Monaco,51,38,13,12,13,45,38,7,2007
10,Ligue 1,Lille,50,38,13,11,14,45,43,2,2007
11,Ligue 1,Saint-Étienne,49,38,14,7,17,52,50,2,2007
