Rk,League,Team,Pts,P,W,D,L,GF,GA,GD,Year_End
1,Serie A,Juventus,86,38,26,8,4,67,27,40,2005
2,Serie A,Milan,79,38,23,10,5,63,28,35,2005
3,Serie A,Internazionale,72,38,18,18,2,65,37,28,2005
4,Serie A,Udinese,62,38,17,11,10,56,40,16,2005
5,Serie A,Sampdoria,61,38,17,10,11,42,29,13,2005
6,Serie A,Palermo,53,38,12,17,9,48,44,4,2005
7,Serie A,F.C. Messina Peloro,48,38,12,12,14,44,52,-8,2005
8,Serie A,Roma,45,38,11,12,15,55,58,-3,2005
9,Serie A,Livorno 1915,45,38,11,12,15,49,60,-11,2005
10,Serie A,Lazio,44,38,11,11,16,48,53,-5,2005
11,Serie A,Lecce,44,38,10,14,14,66,73,-7,2005
12,Serie A,Cagliari,44,38,10,14,14,51,60,-9,2005
13,Serie A,Reggina,44,38,10,14,14,36,45,-9,2005
14,Serie A,AC Siena,43,38,9,16,13,44,55,-11,2005
15,Serie A,Chievo,43,38,11,10,17,32,49,-17,2005
16,Serie A,Fiorentina,42,38,9,15,14,42,50,-8,2005
17,Serie A,Bologna,42,38,9,15,14,33,36,-3,2005
18,Serie A,Parma,42,38,10,12,16,48,65,-17,2005
19,Serie A,Brescia,41,38,11,8,19,37,54,-17,2005
20,Serie A,Atalanta,35,38,8,11,19,34,45,-11,2005
1,Serie A,Internazionale,76,38,23,7,8,68,30,38,2006
2,Serie A,Roma,69,38,19,12,7,70,42,28,2006
3,Serie A,Milan,58,38,28,4,6,85,31,54,2006
4,Serie A,Chievo,54,38,13,15,10,54,49,5,2006
5,Serie A,Palermo,52,38,13,13,12,50,52,-2,2006
6,Serie A,Livorno 1915,49,38,12,13,13,37,44,-7,2006
7,Serie A,Parma,45,38,12,9,17,46,60,-14,2006
8,Serie A,Empoli,45,38,13,6,19,47,61,-14,2006
9,Serie A,Fiorentina,44,38,22,8,8,66,41,25,2006
10,Serie A,Ascoli,43,38,9,16,13,43,53,-10,2006
11,Serie A,Udinese,43,38,11,10,17,40,54,-14,2006
12,Serie A,Reggina,41,38,11,8,19,39,65,-26,2006
13,Serie A,Sampdoria,41,38,10,11,17,47,51,-4,2006
14,Serie A,Cagliari,39,38,8,15,15,42,55,-13,2006
15,Serie A,AC Siena,39,38,9,12,17,42,60,-18,2006
16,Serie A,Lazio,32,38,16,14,8,57,47,10,2006
17,Serie A,F.C. Messina Peloro,31,38,6,13,19,33,59,-26,2006
18,Serie A,Lecce,29,38,7,8,23,30,57,-27,2006
19,Serie A,Treviso,21,38,3,12,23,24,56,-32,2006
20,Serie A,Juventus,0,38,27,10,1,71,24,47,2006
1,Serie A,Internazionale,97,38,30,7,1,80,34,46,2007
2,Serie A,Roma,75,38,22,9,7,74,34,40,2007
3,Serie A,Lazio,62,38,18,11,9,59,33,26,2007
4,Serie A,Milan,61,38,19,12,7,57,36,21,2007
5,Serie A,Palermo,58,38,16,10,12,58,51,7,2007
6,Serie A,Fiorentina,58,38,21,10,7,62,31,31,2007
7,Serie A,Empoli,54,38,14,12,12,42,43,-1,2007
8,Serie A,Atalanta,50,38,12,14,12,56,54,2,2007
9,Serie A,Sampdoria,49,38,13,10,15,44,48,-4,2007
10,Serie A,Udinese,46,38,12,10,16,49,55,-6,2007
11,Serie A,Livorno 1915,43,38,10,13,15,41,54,-13,2007
12,Serie A,Parma,42,38,10,12,16,41,56,-15,2007
13,Serie A,Catania SSD,41,38,10,11,17,46,68,-22,2007
14,Serie A,Reggina,40,38,12,15,11,52,50,2,2007
15,Serie A,AC Siena,40,38,9,14,15,35,45,-10,2007
16,Serie A,Torino,40,38,10,10,18,27,47,-20,2007
17,Serie A,Cagliari,40,38,9,13,16,35,46,-11,2007
18,Serie A,Chievo,39,38,9,12,17,38,48,-10,2007
19,Serie A,Ascoli,27,38,5,12,21,36,67,-31,2007
20,Serie A,F.C. Messina Peloro,26,38,5,11,22,37,69,-32,2007
1,Serie A,Internazionale,85,38,25,10,3,69,26,43,2008
2,Serie A,Roma,82,38,24,10,4,72,37,35,2008
3,Serie A,Juventus,72,38,20,12,6,72,37,35,2008
4,Serie A,Fiorentina,66,38,19,9,10,55,39,16,2008
5,Serie A,Milan,64,38,18,10,10,66,38,28,2008
6,Serie A,Sampdoria,60,38,17,9,12,56,46,10,2008
7,Serie A,Udinese,57,38,16,9,13,48,53,-5,2008
8,Serie A,Napoli,50,38,14,8,16,50,53,-3,2008
9,Serie A,Atalanta,48,38,12,12,14,52,56,-4,2008
10,Serie A,Genoa,48,38,13,9,16,44,52,-8,2008
11,Serie A,Palermo,47,38,12,11,15,47,57,-10,2008
12,Serie A,Lazio,46,38,11,13,14,47,51,-4,2008
13,Serie A,AC Siena,44,38,9,17,12,40,45,-5,2008
14,Serie A,Cagliari,42,38,11,9,18,40,56,-16,2008
15,Serie A,Torino,40,38,8,16,14,36,49,-13,2008
16,Serie A,Reggina,40,38,9,13,16,37,56,-19,2008
17,Serie A,Catania SSD,37,38,8,13,17,33,45,-12,2008
18,Serie A,Empoli,36,38,9,9,20,29,52,-23,2008
19,Serie A,Parma,34,38,7,13,18,42,62,-20,2008
20,Serie A,Livorno 1915,30,38,6,12,20,35,60,-25,2008
1,Serie A,Internazionale,84,38,25,9,4,70,32,38,2009
2,Serie A,Juventus,74,38,21,11,6,69,37,32,2009
3,Serie A,Milan,74,38,22,8,8,70,35,35,2009
4,Serie A,Fiorentina,68,38,21,5,12,53,38,15,2009
5,Serie A,Genoa,68,38,19,11,8,56,39,17,2009
6,Serie A,Roma,63,38,18,9,11,64,61,3,2009
7,Serie A,Udinese,58,38,16,10,12,61,50,11,2009
8,Serie A,Palermo,57,38,17,6,15,57,50,7,2009
9,Serie A,Cagliari,53,38,15,8,15,49,50,-1,2009
10,Serie A,Lazio,50,38,15,5,18,46,55,-9,2009
11,Serie A,Atalanta,47,38,13,8,17,45,48,-3,2009
